         958227 function calls (954979 primitive calls) in 154.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 twodim_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs_scalars.py:1(<module>)
       49    0.000    0.000    0.003    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       13    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
      219    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      666    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      317    0.001    0.000    0.002    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.002    0.002 pickle.py:197(<listcomp>)
      151    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.002    0.002 getlimits.py:162(_register_known_types)
   257/79    0.002    0.000    0.002    0.000 sre_parse.py:175(getwidth)
     1308    0.002    0.000    0.002    0.000 sre_parse.py:234(__next)
       26    0.000    0.000    0.002    0.000 core.py:6855(__init__)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
       26    0.000    0.000    0.002    0.000 core.py:6860(getdoc)
    347/1    0.001    0.000    0.002    0.002 __config__.py:19(_cleanup)
     39/1    0.001    0.000    0.002    0.002 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {method 'release' of 'cv2.VideoCapture' objects}
      477    0.001    0.000    0.002    0.000 enum.py:22(_is_dunder)
     1450    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1450    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
      151    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      477    0.001    0.000    0.002    0.000 enum.py:33(_is_sunder)
      666    0.002    0.000    0.002    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.002    0.002 TiffTags.py:1(<module>)
      456    0.001    0.000    0.002    0.000 sre_parse.py:161(__len__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      455    0.001    0.000    0.002    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       15    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      219    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      604    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  123/121    0.001    0.000    0.002    0.000 typing.py:1247(__hash__)
     1222    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
     1239    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
      666    0.002    0.000    0.002    0.000 shape_base.py:455(<listcomp>)
      407    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
  322/259    0.001    0.000    0.002    0.000 typing.py:1037(__hash__)
      393    0.001    0.000    0.002    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.002    0.002 TiffTags.py:420(_populate)
      107    0.000    0.000    0.002    0.000 sre_compile.py:447(_simple)
     1123    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      151    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       23    0.000    0.000    0.002    0.000 overrides.py:177(decorator)
        6    0.000    0.000    0.002    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:304(GPS)
       35    0.000    0.000    0.002    0.000 __init__.py:50(modules_filter)
     1052    0.002    0.000    0.002    0.000 typing.py:1022(<genexpr>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       18    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      666    0.001    0.000    0.001    0.000 fromnumeric.py:3265(_round_dispatcher)
        2    0.000    0.000    0.001    0.001 __init__.py:99(load_first_config)
      315    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
       48    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
       30    0.001    0.000    0.001    0.000 _inspect.py:140(formatargspec)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      556    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
        2    0.000    0.000    0.001    0.001 load_config_py3.py:6(exec_file_wrapper)
  594/491    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      667    0.001    0.000    0.001    0.000 {built-in method sys.getrefcount}
        1    0.001    0.001    0.001    0.001 interpreter.py:520(__del__)
      927    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      666    0.001    0.000    0.001    0.000 fromnumeric.py:2096(_clip_dispatcher)
        1    0.001    0.001    0.001    0.001 {method 'release' of 'cv2.VideoWriter' objects}
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        3    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      666    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      666    0.001    0.000    0.001    0.000 fromnumeric.py:2317(_any_dispatcher)
